,nivel_experiencia,tipo_emprego,titulo_trabalho,salario_em_dolar,residencia_empregado,percentual_remoto,local_empresa,tamanho_empresa
44,SE,FT,Data Engineer,270703,US,0,US,M
45,SE,FT,Data Engineer,221484,US,0,US,M
46,SE,FT,Data Scientist,212750,US,100,US,M
47,SE,FT,Data Scientist,185000,US,100,US,M
48,SE,FT,Data Scientist,262000,US,100,US,M
49,SE,FT,Data Scientist,245000,US,100,US,M
50,SE,FT,Data Scientist,275300,US,100,US,M
51,SE,FT,Data Scientist,183500,US,100,US,M
52,SE,FT,Data Scientist,218500,US,100,US,M
53,SE,FT,Data Scientist,199098,US,100,US,M
54,SE,FT,Data Engineer,203300,US,100,US,M
55,SE,FT,Data Engineer,123600,US,100,US,M
56,SE,FT,Research Engineer,189110,US,0,US,M
57,SE,FT,Research Engineer,139000,US,0,US,M
58,EX,FT,Data Scientist,258750,US,0,US,M
59,EX,FT,Data Scientist,185000,US,0,US,M
60,SE,FT,Data Engineer,231500,US,100,US,M
61,SE,FT,Data Engineer,166000,US,100,US,M
62,SE,FT,Data Scientist,172500,US,100,US,M
63,SE,FT,Data Scientist,110500,US,100,US,M
64,SE,FT,Data Engineer,238000,US,0,US,M
65,SE,FT,Data Engineer,176000,US,0,US,M
66,SE,FT,Data Engineer,237000,US,100,US,M
67,SE,FT,Data Engineer,201450,US,100,US,M
68,SE,FT,Applied Scientist,309400,US,0,US,L
69,SE,FT,Applied Scientist,159100,US,0,US,L
70,SE,FT,Data Engineer,115000,US,0,US,M
71,SE,FT,Data Engineer,81500,US,0,US,M
72,SE,FT,Data Scientist,237000,US,100,US,M
73,SE,FT,Data Scientist,201450,US,100,US,M
74,SE,FT,Computer Vision Engineer,280000,US,0,US,M
75,SE,FT,Computer Vision Engineer,210000,US,0,US,M
76,SE,FT,Data Architect,280100,US,100,US,M
77,SE,FT,Data Architect,168100,US,100,US,M
78,SE,FT,Data Engineer,193500,US,100,US,M
79,SE,FT,Data Engineer,139000,US,100,US,M
80,MI,FT,Data Scientist,65062,HK,0,HK,L
81,SE,FT,Machine Learning Engineer,150000,PT,100,US,M
82,MI,FT,Applied Machine Learning Engineer,69751,IN,100,DE,S
83,EN,FT,AI Developer,300000,IN,50,IN,L
84,MI,FT,Machine Learning Engineer,96578,NL,100,NL,L
85,SE,FT,Business Intelligence Engineer,185900,US,0,US,M
86,SE,FT,Business Intelligence Engineer,129300,US,0,US,M
87,SE,FT,Data Engineer,225000,US,100,US,M
88,SE,FT,Data Engineer,175000,US,100,US,M
89,SE,FT,Data Engineer,185000,US,0,US,M
90,SE,FT,Data Engineer,140000,US,0,US,M
91,SE,FT,Data Scientist,48289,ES,0,ES,M
92,SE,FT,Data Scientist,38631,ES,0,ES,M
93,SE,FT,Data Scientist,105000,US,0,US,M
94,SE,FT,Data Scientist,70000,US,0,US,M
95,EN,FT,Machine Learning Engineer,163196,US,0,US,M
96,EN,FT,Machine Learning Engineer,145885,US,0,US,M
97,SE,FT,Data Engineer,217000,US,100,US,M
98,SE,FT,Data Engineer,185000,US,100,US,M
99,SE,FT,Data Analyst,202800,US,0,US,L
100,SE,FT,Data Analyst,104300,US,0,US,L
101,SE,FT,Data Analyst,145000,US,0,US,M
102,SE,FT,Data Analyst,65000,US,0,US,M
103,SE,FT,Data Engineer,165000,US,0,US,M
104,SE,FT,Data Engineer,132300,US,0,US,M
105,SE,FT,Data Engineer,179170,US,0,US,M
106,SE,FT,Data Engineer,94300,US,0,US,M
107,SE,FT,Analytics Engineer,152500,US,0,US,M
108,SE,FT,Analytics Engineer,116450,US,0,US,M
109,SE,FT,Data Engineer,247300,US,0,US,M
110,SE,FT,Data Engineer,133800,US,0,US,M
111,SE,FT,Research Engineer,203000,US,0,US,M
112,SE,FT,Research Engineer,133000,US,0,US,M
113,EN,FT,Research Scientist,220000,US,50,US,L
114,EN,FT,Machine Learning Engineer,56536,CH,100,CH,S
115,SE,FT,Data Scientist,150000,US,0,US,M
116,SE,FT,Data Scientist,120000,US,0,US,M
117,SE,FT,Analytics Engineer,289800,US,0,US,M
118,SE,FT,Analytics Engineer,214000,US,0,US,M
119,SE,FT,Analytics Engineer,179820,US,0,US,M
120,SE,FT,Analytics Engineer,143860,US,0,US,M
121,SE,FT,Machine Learning Engineer,283200,US,100,US,M
122,SE,FT,Machine Learning Engineer,188800,US,100,US,M
123,SE,FT,Analytics Engineer,289800,US,0,US,M
124,SE,FT,Analytics Engineer,214200,US,0,US,M
125,SE,FT,Data Engineer,185900,US,0,US,M
126,SE,FT,Data Engineer,129300,US,0,US,M
127,SE,FT,Data Engineer,252000,US,0,US,M
128,SE,FT,Data Engineer,129000,US,0,US,M
129,MI,FT,Data Analytics Manager,155000,US,0,US,M
130,MI,FT,Data Analytics Manager,140000,US,0,US,M
131,SE,FT,Data Engineer,161800,US,100,US,M
132,SE,FT,Data Engineer,141600,US,100,US,M
133,SE,FT,Machine Learning Engineer,342300,US,0,US,L
134,SE,FT,Machine Learning Engineer,176100,US,0,US,L
135,MI,FT,Data Engineer,100000,US,100,US,M
136,MI,FT,Data Engineer,70000,US,100,US,M
137,EN,FT,Data Engineer,85000,US,0,US,M
138,EN,FT,Data Engineer,65000,US,0,US,M
139,SE,FT,Data Scientist,138784,US,100,US,M
140,SE,FT,Data Scientist,83270,US,100,US,M
141,EN,FT,Data Analyst,75000,US,0,US,M
142,EN,FT,Data Analyst,70000,US,0,US,M
143,SE,FT,Data Analyst,204500,US,0,US,M
144,SE,FT,Data Analyst,138900,US,0,US,M
145,SE,FT,Machine Learning Engineer,318300,US,100,US,M
146,SE,FT,Machine Learning Engineer,212200,US,100,US,M
147,SE,FT,Data Engineer,95000,US,100,US,M
148,SE,FT,Data Engineer,75000,US,100,US,M
149,SE,FT,Data Scientist,195000,US,0,US,M
150,SE,FT,Data Scientist,160000,US,0,US,M
151,SE,FT,Analytics Engineer,230000,US,0,US,M
152,SE,FT,Analytics Engineer,143200,US,0,US,M
153,MI,FT,Data Engineer,100000,US,100,US,M
154,MI,FT,Data Engineer,70000,US,100,US,M
155,MI,FT,Business Data Analyst,105000,US,50,US,L
156,MI,FT,Applied Data Scientist,20670,IN,100,IN,L
157,MI,FT,Data Analyst,46178,GB,0,GB,M
158,MI,FT,Data Analyst,42533,GB,0,GB,M
159,SE,FT,Data Engineer,145000,US,0,US,M
160,SE,FT,Data Engineer,115000,US,0,US,M
161,SE,FT,Data Analyst,168400,US,0,US,M
162,SE,FT,Data Analyst,105200,US,0,US,M
163,SE,FT,Applied Scientist,309400,US,0,US,L
164,SE,FT,Applied Scientist,159100,US,0,US,L
165,SE,FT,Machine Learning Engineer,190000,US,0,US,M
166,SE,FT,Machine Learning Engineer,150000,US,0,US,M
167,MI,FT,Data Engineer,162500,US,0,US,M
168,MI,FT,Data Engineer,130000,US,0,US,M
169,SE,FT,Analytics Engineer,150000,US,100,US,M
170,SE,FT,Analytics Engineer,120000,US,100,US,M
171,SE,FT,Data Engineer,145000,US,0,US,M
172,SE,FT,Data Engineer,120000,US,0,US,M
173,SE,FT,Applied Scientist,222200,US,0,US,L
174,SE,FT,Applied Scientist,136000,US,0,US,L
175,SE,FT,Data Analyst,54685,CF,100,CF,M
176,SE,FT,Data Analyst,42533,CF,100,CF,M
177,SE,FT,Data Engineer,241000,US,0,US,M
178,SE,FT,Data Engineer,155000,US,0,US,M
179,SE,FT,Data Engineer,220000,US,100,US,M
180,SE,FT,Data Engineer,190000,US,100,US,M
181,MI,FT,Data Scientist,66837,GB,0,GB,M
182,MI,FT,Data Scientist,54685,GB,0,GB,M
183,EX,FT,Staff Data Analyst,15000,NG,0,CA,M
184,MI,FT,ETL Engineer,85066,GB,100,GB,M
185,MI,FT,ETL Engineer,57723,GB,100,GB,M
186,EN,FT,Data Analyst,85000,US,100,US,M
187,EN,FT,Data Analyst,75000,US,100,US,M
188,SE,FT,Data Engineer,160000,US,0,US,M
189,SE,FT,Data Engineer,140000,US,0,US,M
190,MI,FT,Machine Learning Engineer,300000,US,0,US,M
191,MI,FT,Machine Learning Engineer,250000,US,0,US,M
192,SE,FT,Data Scientist,228000,US,0,US,M
193,SE,FT,Data Scientist,186000,US,0,US,M
194,SE,FT,Data Scientist,190000,US,0,US,M
195,SE,FT,Data Scientist,170000,US,0,US,M
196,MI,FT,Research Engineer,230000,US,0,US,M
197,MI,FT,Research Engineer,200000,US,0,US,M
198,SE,FT,Data Architect,180000,US,100,US,M
199,SE,FT,Data Architect,115000,US,100,US,M
200,SE,FT,Data Architect,200000,US,100,US,M
201,SE,FT,Data Architect,115000,US,100,US,M
202,SE,FT,Data DevOps Engineer,53654,FR,50,FR,S
203,EX,FT,Data Engineer,220000,US,0,US,M
204,EX,FT,Data Engineer,205000,US,0,US,M
205,MI,FT,Data Engineer,180000,US,0,US,M
206,MI,FT,Data Engineer,130000,US,0,US,M
207,SE,FT,Data Engineer,200000,US,100,US,M
208,SE,FT,Data Engineer,150000,US,100,US,M
209,SE,FT,Computer Vision Engineer,215000,US,0,US,M
210,SE,FT,Computer Vision Engineer,170000,US,0,US,M
211,SE,FT,Machine Learning Engineer,247500,US,0,US,M
212,SE,FT,Machine Learning Engineer,172200,US,0,US,M
213,SE,FT,Data Scientist,224000,CA,0,CA,M
214,SE,FT,Data Scientist,176000,CA,0,CA,M
215,SE,FT,Data Analyst,120000,US,100,US,M
216,SE,FT,Data Analyst,75000,US,100,US,M
217,EN,FT,Data Engineer,17022,IN,100,IN,L
218,SE,FT,Applied Data Scientist,68318,AU,100,FI,M
219,MI,FT,AI Developer,75020,FI,0,FI,M
220,SE,FT,Data Analyst,140000,US,0,US,M
221,SE,FT,Data Analyst,120000,US,0,US,M
222,SE,FT,Data Engineer,128000,US,0,US,M
223,SE,FT,Data Engineer,81500,US,0,US,M
224,SE,FT,Data Engineer,145000,US,0,US,M
225,SE,FT,Data Engineer,115000,US,0,US,M
226,SE,FT,Data Engineer,185000,US,0,US,M
227,SE,FT,Data Engineer,140000,US,0,US,M
228,EX,FT,Head of Data,329500,US,0,US,M
229,EX,FT,Head of Data,269600,US,0,US,M
230,SE,FT,Data Quality Analyst,100000,US,0,US,M
231,SE,FT,Data Quality Analyst,80000,US,0,US,M
232,SE,FT,Data Scientist,250000,US,0,US,M
233,SE,FT,Data Scientist,162500,US,0,US,M
234,MI,FT,AI Developer,200000,US,100,US,M
235,SE,FT,Data Engineer,145000,US,0,US,M
236,SE,FT,Data Engineer,100000,US,0,US,M
237,EX,FT,Data Engineer,145000,US,0,US,M
238,EX,FT,Data Engineer,115000,US,0,US,M
239,SE,FT,Data Scientist,203500,US,0,US,M
240,SE,FT,Data Scientist,152000,US,0,US,M
241,SE,FT,Data Scientist,239000,US,0,US,L
242,SE,FT,Data Scientist,122900,US,0,US,L
243,SE,FT,Data Scientist,237000,US,0,US,M
244,SE,FT,Data Scientist,145000,US,0,US,M
245,SE,FT,Data Science Manager,191765,US,0,US,M
246,SE,FT,Data Science Manager,134236,US,0,US,M
247,SE,FT,Analytics Engineer,190000,US,100,US,M
248,SE,FT,Analytics Engineer,112000,US,100,US,M
249,SE,FT,Data Scientist,88256,ES,100,GB,L
250,EN,FT,Data Engineer,85000,US,0,US,M
251,EN,FT,Data Engineer,65000,US,0,US,M
252,SE,FT,Data Analyst,135000,US,0,US,M
253,SE,FT,Data Analyst,105500,US,0,US,M
254,SE,FT,Research Engineer,293000,US,0,US,M
255,SE,FT,Research Engineer,185000,US,0,US,M
256,SE,FT,Data Analyst,80000,US,0,US,M
257,SE,FT,Data Analyst,70000,US,0,US,M
258,SE,FT,Data Engineer,220000,US,100,US,M
259,SE,FT,Data Engineer,160000,US,100,US,M
260,SE,FT,Data Scientist,175000,US,100,US,M
261,SE,FT,Data Scientist,145000,US,100,US,M
262,SE,FT,Data Analyst,200000,US,0,US,M
263,SE,FT,Data Analyst,148500,US,0,US,M
264,SE,FT,Data Scientist,48289,ES,0,ES,M
265,SE,FT,Data Scientist,38631,ES,0,ES,M
266,SE,FT,Data Engineer,240500,US,0,US,L
267,SE,FT,Data Engineer,123700,US,0,US,L
268,SE,FT,Analytics Engineer,152900,US,100,US,M
269,SE,FT,Analytics Engineer,117100,US,100,US,M
270,SE,FT,Analytics Engineer,173000,US,100,US,M
271,SE,FT,Analytics Engineer,113000,US,100,US,M
272,SE,FT,Applied Scientist,260000,US,0,US,L
273,SE,FT,Applied Scientist,136000,US,0,US,L
274,EX,FT,Data Engineer,175000,US,0,US,M
275,EX,FT,Data Engineer,110000,US,0,US,M
276,SE,FT,Applied Scientist,260000,US,0,US,L
277,SE,FT,Applied Scientist,136000,US,0,US,L
278,SE,FT,Research Scientist,130000,US,100,US,M
279,SE,FT,Research Scientist,110000,US,100,US,M
280,SE,FT,Applied Scientist,205000,US,100,US,M
281,SE,FT,Applied Scientist,184000,US,100,US,M
282,SE,FT,Data Analyst,149500,US,100,US,M
283,SE,FT,Data Analyst,127075,US,100,US,M
284,SE,FT,Data Scientist,195000,US,0,US,M
285,SE,FT,Data Scientist,160000,US,0,US,M
286,SE,FT,Data Engineer,219535,US,100,US,M
287,SE,FT,Data Engineer,146115,US,100,US,M
288,SE,FT,Data Scientist,170000,US,0,US,M
289,SE,FT,Data Scientist,135000,US,0,US,M
290,SE,FT,Data Scientist,175000,US,100,US,M
291,SE,FT,Data Scientist,145000,US,100,US,M
292,SE,FT,Data Scientist,199000,US,0,US,M
293,SE,FT,Data Scientist,162000,US,0,US,M
294,SE,FT,Applied Scientist,222200,US,0,US,L
295,SE,FT,Applied Scientist,136000,US,0,US,L
296,EX,FT,Analytics Engineer,221000,US,100,US,M
297,EX,FT,Analytics Engineer,153000,US,100,US,M
298,SE,FT,Data Analyst,187000,US,0,US,M
299,SE,FT,Data Analyst,128000,US,0,US,M
300,SE,FT,Research Scientist,210000,US,0,US,M
301,SE,FT,Research Scientist,136000,US,0,US,M
302,SE,FT,Data Scientist,175000,US,100,US,M
303,SE,FT,Data Scientist,100000,US,100,US,M
304,SE,FT,Data Engineer,179000,US,0,US,M
305,SE,FT,Data Engineer,109000,US,0,US,M
306,SE,FT,Data Scientist,245000,US,0,US,M
307,SE,FT,Data Scientist,180000,US,0,US,M
308,SE,FT,Data Analyst,142000,US,100,US,M
309,SE,FT,Data Analyst,75000,US,100,US,M
310,SE,FT,Data Manager,198800,US,0,US,M
311,SE,FT,Data Manager,105200,US,0,US,M
312,SE,FT,Data Analyst,125000,US,100,US,M
313,SE,FT,Data Analyst,112000,US,100,US,M
314,SE,FT,Data Scientist,210000,US,0,US,M
315,SE,FT,Data Scientist,155000,US,0,US,M
316,SE,FT,Data Manager,115000,US,100,US,M
317,SE,FT,Data Manager,86000,US,100,US,M
318,SE,FT,Data Scientist,165000,US,0,US,M
319,SE,FT,Data Scientist,140000,US,0,US,M
320,SE,FT,Data Analyst,139000,US,0,US,M
321,SE,FT,Data Analyst,106000,US,0,US,M
322,EN,FT,Data Analyst,40663,CA,0,CA,L
323,SE,FT,AI Developer,275000,CA,0,CA,S
325,MI,FT,Machine Learning Engineer,280700,US,100,US,M
326,MI,FT,Machine Learning Engineer,150450,US,100,US,M
327,EN,FT,Data Scientist,51753,CA,100,CA,L
328,SE,FT,Data Architect,250500,US,0,US,M
329,SE,FT,Data Architect,159500,US,0,US,M
330,SE,FT,Data Engineer,145000,US,0,US,M
331,SE,FT,Data Engineer,115000,US,0,US,M
332,SE,FT,Data Analyst,140000,US,0,US,M
333,SE,FT,Data Analyst,120000,US,0,US,M
334,EN,FT,Data Scientist,130001,US,100,US,M
335,EN,FT,Data Scientist,71907,US,100,US,M
336,MI,FT,Data Scientist,93918,US,100,US,M
337,MI,FT,Data Scientist,51962,US,100,US,M
338,SE,FT,Data Analyst,175000,CA,100,CA,M
339,SE,FT,Data Analyst,135000,CA,100,CA,M
340,EN,FT,Data Engineer,85000,US,0,US,M
341,EN,FT,Data Engineer,65000,US,0,US,M
342,SE,FT,Machine Learning Engineer,257000,US,0,US,M
343,SE,FT,Machine Learning Engineer,147000,US,0,US,M
344,SE,FT,Data Engineer,222000,US,100,US,M
345,SE,FT,Data Engineer,175000,US,100,US,M
346,SE,FT,Data Scientist,203000,US,100,US,M
347,SE,FT,Data Scientist,133200,US,100,US,M
348,EN,FT,Applied Scientist,213660,US,0,US,L
349,EN,FT,Applied Scientist,130760,US,0,US,L
350,SE,FT,Data Engineer,221000,US,0,US,M
351,SE,FT,Data Engineer,147000,US,0,US,M
352,SE,FT,Data Quality Analyst,100000,US,0,US,M
353,SE,FT,Data Quality Analyst,80000,US,0,US,M
354,SE,FT,Data Scientist,185900,US,0,US,M
355,SE,FT,Data Scientist,129300,US,0,US,M
356,SE,FT,Data Scientist,238000,US,100,US,M
357,SE,FT,Data Scientist,156000,US,100,US,M
358,SE,FT,Machine Learning Engineer,304000,US,100,US,M
359,SE,FT,Machine Learning Engineer,199000,US,100,US,M
360,MI,FT,Big Data Engineer,48289,ES,100,ES,M
361,SE,FT,Data Engineer,150000,US,0,US,M
362,SE,FT,Data Engineer,130000,US,0,US,M
363,SE,FT,Data Scientist,140000,US,100,US,M
364,SE,FT,Data Scientist,110000,US,100,US,M
365,MI,FT,Data Analyst,90000,US,0,US,M
366,MI,FT,Data Analyst,75000,US,0,US,M
367,MI,FT,Research Scientist,195895,GB,0,GB,M
368,MI,FT,Research Scientist,102772,GB,0,GB,M
369,SE,FT,Data Engineer,240000,US,0,US,M
370,SE,FT,Data Engineer,183600,US,0,US,M
371,MI,FT,Data Specialist,130000,US,0,US,M
372,MI,FT,Data Specialist,80000,US,0,US,M
373,SE,FT,Data Engineer,250000,US,0,US,M
374,SE,FT,Data Engineer,150000,US,0,US,M
375,SE,FT,Data Analytics Manager,160000,US,100,US,M
376,SE,FT,Data Analytics Manager,120000,US,100,US,M
377,SE,FT,Machine Learning Engineer,289076,US,0,US,M
378,SE,FT,Machine Learning Engineer,202353,US,0,US,M
379,SE,FT,Data Engineer,145000,US,0,US,M
380,SE,FT,Data Engineer,120000,US,0,US,M
381,SE,FT,Data Analyst,155000,US,0,US,M
382,SE,FT,Data Analyst,106000,US,0,US,M
383,SE,FT,Data Engineer,200000,US,0,US,M
384,SE,FT,Data Engineer,160000,US,0,US,M
385,SE,FT,Data Scientist,157750,US,100,US,M
386,SE,FT,Data Scientist,104650,US,100,US,M
387,MI,FT,Data Scientist,180000,US,100,US,M
388,MI,FT,Data Scientist,140000,US,100,US,M
389,EX,FT,Data Scientist,200000,US,0,US,M
390,EX,FT,Data Scientist,145000,US,0,US,M
391,MI,FT,Lead Data Analyst,68000,US,0,US,L
392,EN,FT,BI Data Engineer,60000,US,100,US,M
393,SE,FT,Data Scientist,48289,ES,0,ES,M
394,SE,FT,Data Scientist,38631,ES,0,ES,M
395,EN,FT,Data Engineer,85000,US,0,US,M
396,EN,FT,Data Engineer,65000,US,0,US,M
397,MI,FT,Data Engineer,125000,US,0,US,M
398,MI,FT,Data Engineer,90000,US,0,US,M
399,SE,FT,Data Analyst,105000,US,100,US,M
400,SE,FT,Data Analyst,90000,US,100,US,M
401,SE,FT,Analytics Engineer,179820,US,0,US,M
402,SE,FT,Analytics Engineer,143860,US,0,US,M
403,SE,FT,Data Analyst,135000,US,0,US,M
404,SE,FT,Data Analyst,105500,US,0,US,M
405,EN,FT,Research Engineer,155000,US,0,US,M
406,EN,FT,Research Engineer,125000,US,0,US,M
407,SE,FT,Machine Learning Engineer,241000,US,0,US,M
408,SE,FT,Machine Learning Engineer,181000,US,0,US,M
409,SE,FT,Data Scientist,252000,US,0,US,M
410,SE,FT,Data Scientist,154000,US,0,US,M
411,EX,FT,Data Architect,180000,US,0,US,M
412,EX,FT,Data Architect,155000,US,0,US,M
413,SE,FT,Data Scientist,191765,US,0,US,M
414,SE,FT,Data Scientist,134236,US,0,US,M
415,SE,FT,Data Scientist,175000,US,100,US,M
416,SE,FT,Data Scientist,145000,US,100,US,M
417,SE,FT,Data Scientist,237000,US,100,US,M
418,SE,FT,Data Scientist,145000,US,100,US,M
419,EN,FT,Research Engineer,155000,US,0,US,M
420,EN,FT,Research Engineer,125000,US,0,US,M
421,SE,FT,Data Analyst,80000,US,0,US,M
422,SE,FT,Data Analyst,70000,US,0,US,M
423,SE,FT,Data Engineer,146000,US,0,US,M
424,SE,FT,Data Engineer,75000,US,0,US,M
425,EN,FT,Data Analyst,64200,US,100,US,M
426,EN,FT,Data Analyst,56100,US,100,US,M
427,SE,FT,Machine Learning Engineer,170000,US,0,US,M
428,SE,FT,Machine Learning Engineer,130000,US,0,US,M
429,SE,FT,Data Analyst,208450,US,100,US,M
430,SE,FT,Data Analyst,170550,US,100,US,M
431,SE,FT,Machine Learning Engineer,125000,US,0,US,M
432,SE,FT,Machine Learning Engineer,100000,US,0,US,M
433,MI,FT,Data Manager,135000,US,0,US,M
434,MI,FT,Data Manager,120000,US,0,US,M
435,SE,FT,Data Scientist,200000,US,100,US,M
436,SE,FT,Data Scientist,170000,US,100,US,M
437,SE,FT,Data Scientist,171250,IE,0,IE,M
438,SE,FT,Data Scientist,113750,IE,0,IE,M
439,SE,FT,Applied Scientist,222200,US,0,US,L
440,SE,FT,Applied Scientist,136000,US,0,US,L
441,SE,FT,Applied Scientist,260000,US,0,US,L
442,SE,FT,Applied Scientist,136000,US,0,US,L
443,SE,FT,Data Analyst,153600,US,0,US,M
444,SE,FT,Data Analyst,100500,US,0,US,M
445,SE,FT,Applied Scientist,205000,US,100,US,M
446,SE,FT,Applied Scientist,184000,US,100,US,M
447,SE,FT,Machine Learning Engineer,115000,CA,100,CA,M
448,SE,FT,Machine Learning Engineer,95000,CA,100,CA,M
449,MI,FT,Data Analyst,182500,US,0,US,M
450,MI,FT,Data Analyst,121500,US,0,US,M
451,SE,FT,Data Engineer,203100,US,0,US,M
452,SE,FT,Data Engineer,114500,US,0,US,M
453,MI,FT,Data Analyst,72914,GB,0,GB,M
454,MI,FT,Data Analyst,54685,GB,0,GB,M
455,SE,FT,Data Engineer,252000,US,0,US,M
456,SE,FT,Data Engineer,129000,US,0,US,M
457,EN,FT,Data Engineer,92700,US,100,US,M
458,EN,FT,Data Engineer,61800,US,100,US,M
459,SE,FT,Data Engineer,160000,US,100,US,M
460,SE,FT,Data Engineer,130000,US,100,US,M
461,SE,FT,Data Scientist,258000,CA,0,CA,M
462,SE,FT,Data Scientist,190000,CA,0,CA,M
463,SE,FT,Data Scientist,170000,US,0,US,M
464,SE,FT,Data Scientist,135000,US,0,US,M
465,MI,FT,Data Architect,167500,US,0,US,M
466,MI,FT,Data Architect,106500,US,0,US,M
467,SE,FT,Data Scientist,195000,US,0,US,M
468,SE,FT,Data Scientist,160000,US,0,US,M
469,MI,FT,Data Engineer,146000,US,0,US,M
470,MI,FT,Data Engineer,75000,US,0,US,M
471,EN,FT,Data Engineer,59888,NL,100,NL,L
472,EX,FT,Data Engineer,286000,US,100,US,M
473,EX,FT,Data Engineer,207000,US,100,US,M
474,SE,FT,Data Analyst,100000,US,100,US,M
475,SE,FT,Data Analyst,80000,US,100,US,M
476,SE,FT,Data Engineer,223250,US,0,US,M
477,SE,FT,Data Engineer,178600,US,0,US,M
478,EX,FT,Director of Data Science,353200,US,0,US,M
479,EX,FT,Director of Data Science,249300,US,0,US,M
480,MI,FT,Machine Learning Scientist,230000,US,0,US,M
481,MI,FT,Machine Learning Scientist,220000,US,0,US,M
482,SE,FT,Data Scientist,297300,US,100,US,M
483,SE,FT,Data Scientist,198200,US,100,US,M
484,MI,FT,Research Scientist,210000,US,100,US,M
485,MI,FT,Research Scientist,151800,US,100,US,M
486,SE,FT,Data Scientist,200000,US,100,US,M
487,SE,FT,Data Scientist,170000,US,100,US,M
488,SE,FT,Data Scientist,317070,US,0,US,M
489,SE,FT,Data Scientist,170730,US,0,US,M
490,SE,FT,Data Engineer,128000,US,0,US,M
491,SE,FT,Data Engineer,81500,US,0,US,M
492,EN,FT,Business Data Analyst,21461,ES,0,ES,M
493,SE,FT,AI Developer,108000,UA,0,UA,M
494,SE,FT,AI Developer,60000,UA,0,UA,M
495,MI,FT,MLOps Engineer,134000,US,100,US,M
496,MI,FT,MLOps Engineer,124000,US,100,US,M
497,SE,FT,Data Engineer,171250,US,0,US,M
498,SE,FT,Data Engineer,113750,US,0,US,M
499,SE,FT,Data Engineer,165000,US,0,US,M
500,SE,FT,Data Engineer,132300,US,0,US,M
501,SE,FT,Data Scientist,225000,US,0,US,M
502,SE,FT,Data Scientist,175000,US,0,US,M
503,SE,FT,Data Engineer,230000,US,0,US,M
504,SE,FT,Data Engineer,124500,US,0,US,M
505,SE,FT,Machine Learning Engineer,247500,US,0,US,M
506,SE,FT,Machine Learning Engineer,172200,US,0,US,M
507,SE,FT,Data Analyst,175000,US,0,US,M
508,SE,FT,Data Analyst,145000,US,0,US,M
509,SE,FT,Data Analyst,148700,US,0,US,M
510,SE,FT,Data Analyst,125600,US,0,US,M
511,SE,FT,Data Engineer,145000,US,0,US,M
512,SE,FT,Data Engineer,115000,US,0,US,M
513,SE,FT,Research Scientist,200000,US,0,US,M
514,SE,FT,Research Scientist,150000,US,0,US,M
515,EN,FT,Research Engineer,160000,US,0,US,M
516,EN,FT,Research Engineer,120000,US,0,US,M
517,SE,FT,Data Analyst,185000,US,100,US,M
